,1st,name,total
0,7,BOS,72
1,11,MEM,68
2,29,CHA,103
3,28,DET,90
4,17,POR,81
5,27,OKC,131
6,24,TOR,101
7,18,GS,96
8,24,CLE,101
9,20,ATL,103
10,26,SA,96
11,16,TOR,83
12,28,MIA,80
13,33,OKC,119
14,19,LAC,88
15,25,SA,116
16,29,GS,121
17,21,ATL,95
18,25,CLE,100
19,26,MIA,85
20,24,DAL,104
21,20,LAC,84
22,35,IND,99
23,20,BOS,83
24,28,CHA,90
25,18,POR,108
26,20,HOU,81
27,20,ATL,104
28,22,TOR,83
29,27,MIA,97
30,24,LAC,103
31,18,CHA,73
32,17,POR,106
33,23,IND,84
34,19,ATL,93
35,29,OKC,98
36,18,MIA,102
37,34,POR,99
38,20,ATL,98
39,19,MIA,92
40,31,CLE,121
41,27,SA,100
42,23,TOR,95
43,28,GS,108
44,27,CLE,100
45,27,SA,97
46,21,TOR,87
47,18,GS,132
48,22,OKC,95
49,18,MIA,91
50,30,POR,121
51,19,SA,99
52,20,TOR,91
53,21,OKC,108
54,28,TOR,84
55,20,OKC,91
56,28,TOR,89
57,24,CLE,84
58,28,GS,105
59,24,CLE,99
60,26,GS,94
61,19,TOR,78
62,21,OKC,111
63,31,CLE,113
64,24,OKC,88
65,24,CLE,89
66,21,CLE,77
67,16,GS,90
68,29,GS,108
69,29,CLE,112
70,11,GS,101
71,19,IND,100
72,15,HOU,78
73,19,BOS,101
74,11,DAL,70
75,25,DET,101
76,22,CHA,91
77,13,MEM,74
78,21,POR,95
79,16,IND,87
80,24,DAL,85
81,30,HOU,106
82,7,BOS,72
83,11,MEM,68
84,29,CHA,103
85,28,DET,90
86,17,POR,81
87,27,OKC,131
88,24,TOR,101
89,18,GS,96
90,24,CLE,101
91,20,ATL,103
92,26,SA,96
93,16,TOR,83
94,28,MIA,80
95,33,OKC,119
96,19,LAC,88
97,25,SA,116
98,29,GS,121
99,21,ATL,95
100,25,CLE,100
101,26,MIA,85
102,24,DAL,104
103,20,LAC,84
104,35,IND,99
105,20,BOS,83
106,28,CHA,90
107,18,POR,108
108,20,HOU,81
109,22,TOR,83
110,27,MIA,97
111,24,LAC,103
112,18,MIA,102
113,34,POR,99
114,20,ATL,98
115,19,MIA,92
116,31,CLE,121
117,27,SA,100
118,23,TOR,95
119,28,GS,108
120,27,CLE,100
121,27,SA,97
122,21,TOR,87
123,18,GS,132
124,18,MIA,91
125,30,POR,121
126,20,TOR,91
127,21,OKC,108
128,20,OKC,91
129,24,CLE,84
130,28,GS,105
131,24,CLE,99
132,26,GS,94
133,19,TOR,78
134,21,OKC,111
135,31,CLE,113
136,20,GS,108
137,24,OKC,88
138,24,CLE,89
139,21,CLE,77
140,16,GS,90
141,29,IND,108
142,30,MIL,97
143,30,MEM,82
144,22,UTAH,97
145,29,IND,111
146,16,MEM,82
147,25,MIL,100
148,31,CHI,111
149,18,UTAH,91
150,24,ATL,101
151,35,OKC,111
152,17,POR,81
153,27,CLE,119
154,12,TOR,77
155,21,SA,94
156,33,BOS,104
157,25,HOU,113
158,21,LAC,111
159,19,TOR,87
160,20,WSH,98
161,26,SA,108
162,30,GS,119
163,20,MIL,93
164,35,WSH,101
165,45,GS,128
166,22,OKC,99
167,23,MEM,103
168,19,UTAH,96
169,25,ATL,99
170,20,CHI,97
171,28,TOR,92
172,24,SA,103
173,38,WSH,111
174,24,UTAH,104
175,42,WSH,119
176,21,UTAH,94
177,22,TOR,103
178,30,HOU,96
179,17,BOS,89
180,15,UTAH,104
181,28,CLE,115
182,19,SA,103
183,27,GS,102
184,39,GS,121
185,29,HOU,107
186,21,WSH,101
187,31,SA,114
188,17,BOS,91
189,30,SA,111
190,23,WSH,105
191,16,SA,100
192,30,CLE,117
193,24,BOS,111
194,31,GS,129
195,43,CLE,135
196,34,CLE,113
197,39,GS,118
198,37,CLE,120
199,24,ATL,89
200,22,SA,94
201,29,MIA,115
202,23,CLE,107
203,22,LAC,102
204,21,DAL,102
205,17,IND,85
206,31,HOU,97
207,27,DET,91
208,37,BOS,111
209,18,MEM,87
210,28,IND,100
211,29,CHA,96
212,18,DAL,108
213,22,POR,96
214,19,MEM,95
215,29,HOU,94
216,24,BOS,104
217,28,DET,98
218,19,CHA,89
219,35,OKC,118
220,24,POR,98
221,20,TOR,102
222,15,ATL,110
223,25,MIA,88
224,18,LAC,98
225,37,GS,114
226,17,BOS,92
227,20,IND,101
228,24,CHA,90
229,24,POR,106
230,29,MIA,106
231,37,GS,118
232,28,TOR,89
233,30,CLE,104
234,21,SA,97
235,18,TOR,96
236,21,GS,110
237,35,CLE,123
238,29,TOR,96
239,28,ATL,108
240,20,OKC,96
241,19,MIA,91
242,22,POR,120
243,36,ATL,99
244,17,OKC,111
245,25,MIA,94
246,26,POR,125
247,16,SA,91
248,28,TOR,99
249,27,GS,125
250,25,OKC,113
251,21,MIA,103
252,27,GS,102
253,33,CLE,115
254,27,GS,118
255,30,CLE,108
256,27,TOR,99
257,34,OKC,133
258,27,TOR,105
259,30,OKC,118
260,37,CLE,116
261,25,GS,120
262,25,TOR,87
263,19,GS,96
264,28,GS,104
265,19,GS,110
266,33,CLE,120
267,28,CLE,97
268,32,GS,97
269,31,CLE,115
270,24,TOR,90
271,33,GS,104
272,30,ATL,102
273,26,OKC,108
274,27,CLE,106
275,41,MIA,123
276,22,SA,106
277,26,LAC,115
278,27,TOR,98
279,20,OKC,84
280,33,GS,115
281,24,ATL,89
282,22,SA,94
283,29,MIA,115
284,23,CLE,107
285,22,LAC,102
286,21,DAL,102
287,17,IND,85
288,31,HOU,97
289,27,DET,91
290,37,BOS,111
291,18,MEM,87
292,28,IND,100
293,29,CHA,96
294,18,DAL,108
295,22,POR,96
296,19,MEM,95
297,29,HOU,94
298,24,BOS,104
299,28,DET,98
300,19,CHA,89
301,35,OKC,118
302,24,POR,98
303,20,TOR,102
304,15,ATL,110
305,25,MIA,88
306,18,LAC,98
307,37,GS,114
308,20,IND,101
309,24,CHA,90
310,24,POR,106
311,18,TOR,96
312,21,GS,110
313,35,CLE,123
314,29,TOR,96
315,28,ATL,108
316,20,OKC,96
317,19,MIA,91
318,22,POR,120
319,36,ATL,99
320,17,OKC,111
321,25,MIA,94
322,26,POR,125
323,28,TOR,99
324,27,GS,125
325,21,MIA,103
326,27,GS,102
327,27,GS,118
328,27,TOR,99
329,34,OKC,133
330,27,TOR,105
331,30,OKC,118
332,37,CLE,116
333,25,GS,120
334,25,TOR,87
335,23,OKC,101
336,19,GS,96
337,28,GS,104
338,19,GS,110
339,33,CLE,120
340,34,CLE,109
341,22,TOR,83
342,25,SA,111
343,24,LAC,95
344,32,CLE,117
345,29,SA,96
346,28,TOR,106
347,26,BOS,97
348,29,LAC,99
349,23,WSH,109
350,26,HOU,115
351,33,GS,110
352,37,IND,114
353,32,MIL,104
354,21,MEM,105
355,15,CHI,87
356,34,OKC,115
357,34,UTAH,106
358,19,MIL,76
359,38,ATL,116
360,23,MEM,110
361,37,POR,113
362,31,TOR,118
363,28,ATL,111
364,22,POR,103
365,16,HOU,105
366,23,SA,116
367,21,LAC,92
368,23,WSH,103
369,23,BOS,108
370,24,MIL,89
371,22,MEM,96
372,24,BOS,123
373,24,LAC,91
374,29,BOS,129
375,27,GS,106
376,34,CLE,125
377,33,SA,121
378,39,WSH,116
379,33,GS,115
380,24,TOR,94
381,21,HOU,92
382,17,UTAH,91
383,17,UTAH,95
384,32,SA,110
385,33,BOS,123
386,24,HOU,75
387,22,WSH,92
388,16,GS,113
389,27,BOS,115
390,33,GS,136
391,19,BOS,104
392,35,CLE,108
393,19,SA,115
394,27,BOS,102
395,40,GS,132
396,32,CLE,113
397,33,GS,129
